Stock,Scientific name,AI,EBS,GOA,R-T
arrowtooth flounder,Atheresthes stomias,450,480,850,6100
Atka mackerel,Pleurogrammus monopterygius,600,--,--,12900
flathead sole,Hippoglossoides elassodon,--,560,520,9400
northern rock sole,Lepidopsetta polyxystra,--,460,450,8900
northern rockfish,Sebastes polyspinis,570,--,450,6400
Pacific cod,Gadus macrocephalus,800,1070,650,21200
Pacific ocean perch,Sebastes alutus,940,--,1030,13500
walleye pollock,Gadus chalcogrammus,790,1500,1300,84400
yellowfin sole,Limanda aspera,--,750,--,10300
