year,species_code,comp_type,length,ae,ae_al,al,base
1990,21720,total,870,1.8256925242475923,2.419132484736984,0.8494869985292414,1.0310529784169349
1990,21720,total,880,1.1999775264110208,1.182070052957905,2.357699379811932,2.7924172640402958
1990,21720,total,890,1.7164404436421281,1.676900947372426,1.5029963559964261,1.6102662037471571
1990,21720,total,900,1.6809539703304162,2.2579210541695343,0.7828920536449399,0.9583052510419191
1990,21720,total,920,2.4934480733539592,2.4653178219180534,1.4699745735542982,1.7486439043771744
1990,21720,total,940,2.74845746082518,2.642510307129227,1.5480377074791893,1.7743679598036788
1990,21720,total,950,2.5089782620441765,2.437097685779229,1.2100026185348238,1.283694690958063
1990,21720,total,960,2.289285229432167,2.460855316274409,1.1359443207445865,1.2249452916837307
1990,21720,total,1020,3.049245338696533,3.2305445258203243,1.379187118198115,1.7912941029047216
1993,21720,total,250,2.8492753248091653,2.2364343244125875,2.0894400136970086,2.6806395340953393
1993,21720,total,260,2.3649933720002974,1.8083528449032291,1.5947690529071339,2.03391625198605
1993,21720,total,270,3.4398347670743625,3.1481401306402512,2.2349141214710704,2.7175190111451735
1993,21720,total,280,2.777369430516487,2.2755937924038094,1.8839270277518312,2.4018209524806857
1993,21720,total,290,1.498862878790383,1.2545109923697497,1.7986063637114464,2.5944700428757845
1993,21720,total,330,1.3203879532412293,1.193850934913534,1.537169560691062,1.8507199407949524
1993,21720,total,340,2.6617649719309777,2.277593423362219,2.2773140937260163,3.563733251477816
1993,21720,total,350,1.269681046958228,1.1551118959064512,2.278577998353169,3.310438703461176
1993,21720,total,370,3.3824102889817222,3.302063322805912,3.0841065443124167,4.107679125482625
1993,21720,total,380,5.21712305273018,4.570106601965578,2.458943860249755,3.2892874638734786
1993,21720,total,390,7.0153606683717245,5.9812826160828525,3.381342234668885,4.9365045915264005
1993,21720,total,410,1.0082429461719038,0.9171557756209571,3.028939095094287,4.82074225071557
1993,21720,total,420,3.8906350085305537,3.5338342922751083,2.6857969115150215,3.9413737881385806
1993,21720,total,430,2.7827730955436785,2.469760377136562,5.44400461807488,6.944012097115724
1993,21720,total,440,1.7594843252297119,1.4014205222722784,2.57403679808432,4.320787980626544
1993,21720,total,450,3.7923594972600263,3.1686244219099162,3.2369613278284506,4.733322973555112
1993,21720,total,460,5.199759441972929,4.872215471242562,2.757167727313252,3.9171312190330174
1993,21720,total,470,5.620670873475093,4.888367168862064,3.847487544315431,6.457125613681981
1993,21720,total,480,8.514519718324289,7.776894693219412,5.00534689220034,7.371153171933918
1993,21720,total,490,5.4249217028546255,4.678608988699441,2.6049924141521124,3.498763217552677
1993,21720,total,500,3.0188359694860645,2.3250739045808198,2.257428915699566,4.394095063234924
1993,21720,total,510,1.014103340424158,1.0239743693093222,2.721363525886955,4.338160530201282
1993,21720,total,520,5.085737251049177,4.149011701455609,2.8853541007971946,4.179010083898882
1993,21720,total,530,3.861705172409787,4.044149064595111,3.2973982495932015,5.389347205376482
1993,21720,total,540,7.131861194187541,6.65951439297513,5.199382231100911,8.047021301108924
1993,21720,total,550,2.8882049165962616,2.443682438442863,3.2075615318851955,5.089928972868474
1993,21720,total,560,6.923246736012832,6.724685807079892,4.334315587893163,6.628620230394086
1993,21720,total,570,6.504397719374087,5.760010163094879,4.607467074204746,6.614027712826142
1993,21720,total,580,4.807184787591908,4.0884031290470775,4.185081288798026,6.694286095783674
1993,21720,total,590,6.293707585743311,4.788244042561605,4.045951255412557,6.432342753831225
1993,21720,total,600,3.944696355645367,3.526450699158201,3.3684313001752186,4.834300477055242
1993,21720,total,610,7.370013582514732,6.529127426726703,4.169293826475417,6.020912421060542
1993,21720,total,620,6.669907366664391,6.913045991391174,3.9832788519136484,6.3549538661861895
1993,21720,total,630,5.247694344167153,5.1200785719701365,3.118272668017997,6.040854729297744
1993,21720,total,640,4.993194912563332,5.013617124206291,4.657852596357122,7.062049457942725
1993,21720,total,650,2.4904854584045366,2.1179066054369318,2.758547090774806,4.514438785485045
1993,21720,total,660,5.731856439338905,4.55039906664744,2.3489859376261304,4.56623001600925
1993,21720,total,670,5.237540587107414,4.757442963635628,4.222876259808109,7.1702217009268185
1993,21720,total,680,3.838980757054984,3.900693100821935,4.1133249563288095,6.367788962131656
1993,21720,total,690,6.34655131717019,5.663467553603833,4.304234131789179,7.1498097431333605
1993,21720,total,700,7.1554726266534034,6.7731600850767855,4.176351937663793,6.146393064014043
1993,21720,total,710,1.3748959099761484,1.3431775409514004,4.664068447571337,6.725180016410023
1993,21720,total,720,4.719917285805345,4.276481900123682,5.17022023430115,6.608719171506268
1993,21720,total,730,10.372302876526403,8.815081768863214,4.449086772250018,6.928921768977227
1993,21720,total,740,4.339360450383264,4.1278516591505285,2.5510640920423713,3.756973893760328
1993,21720,total,750,3.5198046953266955,3.2454658200664093,1.8587100704184045,2.8422241346511283
1993,21720,total,760,3.0329526717636366,1.991011694326206,1.182433247813795,1.9166199506477715
1993,21720,total,770,4.70702332800784,4.969360179374928,3.798649027857282,5.69756980648299
1993,21720,total,780,2.342765933235527,2.264685282455711,2.1454845301100347,2.788197344813214
1993,21720,total,790,2.3168897104501673,1.838399756907556,0.9849689962937961,1.6342173852436577
1993,21720,total,800,3.1908784049297885,2.156463765324391,1.4770315924287378,2.5261804992319945
1993,21720,total,810,0.9526054185508965,0.9257845446823222,1.9340780347650155,2.6369499282570636
1993,21720,total,820,3.90343343225727,3.6858148046490258,1.7573714237842244,2.378841245474674
1993,21720,total,830,3.4351595305624727,3.307643594057722,1.040408227669665,1.469903432626849
1993,21720,total,840,1.3545216654393406,1.2390677244043606,1.3504930017565526,1.880834211069954
1993,21720,total,850,2.4221908142801443,2.1772202592945775,1.3583065106044254,1.4859448795914239
1993,21720,total,860,4.380190932596254,4.668596025351537,1.4244278743649288,2.1985135597592405
1993,21720,total,870,2.8668526345446907,2.8561020396781225,1.0636860985930694,1.3919727788497123
1993,21720,total,880,1.8998938764009097,1.7063848538985351,0.9774225911879596,1.353006764935177
1993,21720,total,890,1.7718653173597585,1.850101085932643,0.8356848432708218,1.013806957539042
1993,21720,total,900,2.457712590358788,2.7218465368335543,1.4394841418453774,1.7046470314435223
1993,21720,total,920,2.0566501907961694,2.07690302438879,1.154577657213833,1.1958035235518285
1993,21720,total,940,2.268536667670119,2.314917311015615,1.1811911743737946,1.2676486643491915
1993,21720,total,950,2.079649343374079,2.2980891713800244,1.0444895232870626,1.3344541917145516
1993,21720,total,970,2.444779604222685,2.406604080854901,1.2228054583980958,1.3102504214711046
1993,21720,total,980,2.168179909449424,2.1124122579927316,1.1567294654700024,1.2076673277368117
1993,21720,total,990,2.2903049894066303,2.169090708639326,1.4378848407661935,1.649674551410704
1993,21720,total,1000,2.3216521482568933,2.5505775711380863,1.2148509792897044,1.2242892206408336
1993,21720,total,1020,2.9663114802227457,2.895276828064138,1.530270917854621,1.7683523991150436
1996,21720,total,240,3.1501347882818616,2.45990083705159,2.579288601416434,3.071239667274033
1996,21720,total,250,1.9570023658609013,1.8171373941715896,1.4269063634851933,1.6882530039987511
1996,21720,total,270,3.3341136612257016,2.6289899031069632,2.2934963693919936,2.997397079000375
1996,21720,total,350,5.383521948085393,4.321152904335044,3.049509775108051,4.616761280959844
1996,21720,total,360,5.612523646242764,4.712426803320675,3.2805583998840464,4.856357051114076
1996,21720,total,370,2.7231690959834016,2.165614254641219,3.268175729202343,4.792804666895883
1996,21720,total,380,1.9566088258182173,1.8590897485773574,5.008575077764651,7.291305922885723
1996,21720,total,390,0.9414461503659142,0.8249463612929208,4.530361103918093,7.778759787342412
1996,21720,total,400,1.2063109712781832,1.1036963176425783,5.471228674526003,8.298949472478474
1996,21720,total,440,3.5125453622857727,2.7949943245368822,2.68296281607262,3.0647500381103203
1996,21720,total,450,6.345518936672964,5.956151158250023,4.063052733676369,5.523577277459914
1996,21720,total,460,6.6754877705929525,5.954186473147493,3.561426770626982,5.182350840206931
1996,21720,total,470,6.923685369183133,6.153733049593928,5.609554403307414,9.02545057790429
1996,21720,total,480,5.314969219539089,4.491966941856765,2.950709396814426,4.570406360378514
1996,21720,total,490,2.793578329869792,2.5976764545289415,3.8662984395344244,5.946946865230429
1996,21720,total,500,4.666826328715557,4.594907210963373,4.7250835344613975,6.908323455058987
1996,21720,total,510,2.356732870580135,2.22373501462986,4.033121175481519,5.846834091275817
1996,21720,total,520,1.9803688382677722,2.0025536802522166,3.654062720833379,5.294093315130704
1996,21720,total,530,4.427895478742576,4.172100720104821,4.518255077708306,6.395614509948961
1996,21720,total,540,5.467293790240513,4.604060275454666,2.3809727145092934,3.311840395041992
1996,21720,total,550,5.8673853742856785,3.583591845033946,3.1090913987262154,5.142497162307656
