year,species_code,comp_type,length,ae,ae_al,al,base
1990,21720,male,640,2.1613426988306954,1.8333032288535003,1.4132505657950003,1.8809186905300512
1990,21720,male,650,2.433065786136668,2.09206194071777,1.7866724115345367,2.388577782396155
1990,21720,male,700,1.5781725186890434,1.6518440684785838,1.087467275290327,3.396171277550645
1990,21720,total,460,0.8509494960711806,0.8721708147263181,1.1987527292905296,1.2243907426198697
1990,21720,total,480,4.0383863697794355,3.72703110284238,2.878366278266189,4.060715272156633
1990,21720,total,490,0.7950889831792488,0.6706807994224032,1.211902250074286,0.8005584600760458
1990,21720,total,530,2.2659802989464812,1.8442754233183756,2.9151558169375704,3.795768106737395
1990,21720,total,540,2.4594597877535533,2.2621763630761995,3.4498753451549464,5.423132820753464
1990,21720,total,560,3.425059450194967,2.9422632189109215,2.760363180525451,3.8985066347984603
1990,21720,total,580,2.2423211412722015,2.0129351560224107,3.5490611549278728,4.816779045600446
1990,21720,total,600,4.274414378648417,3.7545676583860654,4.24150934875273,5.989730841602033
1990,21720,total,610,4.832665251095756,4.4214772578544395,3.4532916431997895,5.391396241969969
1990,21720,total,630,1.9675803194161963,1.8426091319536722,3.041438072535013,4.181675115669283
1990,21720,total,640,4.028156675357806,2.653632413741939,2.5495685755668704,3.5700557467947003
1990,21720,total,650,4.051786681111097,3.3051840653510123,3.815135219439358,5.686953294597157
1990,21720,total,700,2.359556569273867,2.222285982710679,2.060675309590344,1.9627927897967523
1990,21720,total,760,1.4743767943970219,1.717123202358379,2.3531004753092177,2.7472375747980085
1990,30060,female,160,1.185844187974977,1.1404093921822303,0.6303396414046123,0.7138203505156551
1990,30060,female,190,0.9149468017081829,0.9363843061394141,2.8061543786949374,4.256390149004208
1990,30060,female,200,2.8655888042096422,2.6160371005853076,4.077991128505334,5.497117438615305
1990,30060,female,210,4.890948000727741,4.160761079912651,2.9422293893435922,4.042404121603169
1990,30060,female,220,1.376515629598079,1.4364350236387555,2.301106065234353,3.042856146565653
1990,30060,female,230,3.8854024593609653,3.523499980534816,6.672471965098906,9.917081805832234
1990,30060,female,240,4.201836000346737,4.031779059628503,10.17116148403749,16.278650826394777
1990,30060,female,250,6.0980435574669345,5.632521241435094,10.937125785191935,16.439928930605294
1990,30060,female,260,15.037401014664837,13.034562834092807,11.459189033378594,16.202265759624535
1990,30060,female,270,14.324975644693943,13.386848066531192,12.289970067132408,18.373158602966615
1990,30060,female,280,11.908601872279402,10.077996690331924,10.135144256266187,14.327527262872893
1990,30060,female,290,11.55135785615288,9.91113249992299,9.668562768243833,14.102868905277301
1990,30060,female,300,17.495967942270774,15.015145528396124,11.95352906200487,17.05904150981939
1990,30060,female,310,17.33936931021197,15.422558836342265,12.432578698937316,18.013078293003005
1990,30060,female,320,17.230068246402784,16.02906625378157,11.569704744949954,16.177268301684727
1990,30060,female,330,29.276226385910174,27.112977060723445,16.17514476335765,23.1237481888344
1990,30060,female,340,25.863506550486605,22.166848444900012,12.752044430639803,17.873997038023013
1990,30060,female,350,20.91965970353439,20.09903656660589,15.648365509455006,23.031836180489268
1990,30060,female,360,29.421212717114166,24.973816828875812,14.584785590978889,21.461886529294848
1990,30060,female,370,14.315339788316201,12.973094991261052,9.426489312113002,14.244828707766496
1990,30060,female,380,13.06530091139934,11.738769756088212,13.156329767094563,19.34802633690665
1990,30060,female,390,12.760545133427923,11.677085270249185,11.00040306992506,16.62027042594796
1990,30060,female,400,9.363172095888585,8.919452185079095,11.710878886602098,17.72992826869706
1990,30060,female,410,9.9632717615534645,8.48110023006451,6.809043170024136,11.664647873351244
1990,30060,female,420,12.874324697729078,10.451465636375886,7.774549408062111,13.832885794302202
1990,30060,female,430,8.2983267690984,6.59232586808426,4.988859040264058,8.920187876308551
1990,30060,female,450,1.0731996694439592,0.7086539585888145,0.8451690316806054,1.5563616635866282
1990,30060,male,140,1.4768860409194324,1.5879374625585547,2.0131109232503706,2.16832833188766
